scope,condition,epsilon,seed,subject,regime,model,balanced_accuracy,macro_f1,advantage_over_chance,session_accuracy
utility,analytic_gaussian,1.0,101112,6,,personalized_logistic_regression,0.2743055555555556,0.2738506030319816,,
utility,analytic_gaussian,1.0,101112,7,,personalized_logistic_regression,0.2847222222222222,0.28385951696114686,,
utility,analytic_gaussian,1.0,101112,8,,personalized_logistic_regression,0.2222222222222222,0.2215602326077678,,
utility,analytic_gaussian,1.0,101112,9,,personalized_logistic_regression,0.3194444444444444,0.3188081778801103,,
utility,task_weighted_empirical,1.0,101112,1,,personalized_logistic_regression,0.32291666666666663,0.32224431556660227,,
utility,task_weighted_empirical,1.0,101112,2,,personalized_logistic_regression,0.22222222222222224,0.22253398414947778,,
utility,task_weighted_empirical,1.0,101112,3,,personalized_logistic_regression,0.2013888888888889,0.19912530159164846,,
utility,task_weighted_empirical,1.0,101112,4,,personalized_logistic_regression,0.25,0.24489557624978478,,
utility,task_weighted_empirical,1.0,101112,5,,personalized_logistic_regression,0.25,0.24824930273797247,,
utility,task_weighted_empirical,1.0,101112,6,,personalized_logistic_regression,0.24305555555555555,0.243338647986239,,
utility,task_weighted_empirical,1.0,101112,7,,personalized_logistic_regression,0.2638888888888889,0.263610307072741,,
utility,task_weighted_empirical,1.0,101112,8,,personalized_logistic_regression,0.25,0.2499116177234827,,
utility,task_weighted_empirical,1.0,101112,9,,personalized_logistic_regression,0.26736111111111105,0.2659909102390406,,
utility,analytic_gaussian,2.0,42,1,,personalized_logistic_regression,0.2534722222222222,0.25300563846224355,,
utility,analytic_gaussian,2.0,42,2,,personalized_logistic_regression,0.2361111111111111,0.23399033473217593,,
utility,analytic_gaussian,2.0,42,3,,personalized_logistic_regression,0.24305555555555558,0.2403922475860042,,
utility,analytic_gaussian,2.0,42,4,,personalized_logistic_regression,0.2534722222222222,0.25404537029723845,,
utility,analytic_gaussian,2.0,42,5,,personalized_logistic_regression,0.2569444444444445,0.2563820520937853,,
utility,analytic_gaussian,2.0,42,6,,personalized_logistic_regression,0.2569444444444444,0.25678772523493226,,
utility,analytic_gaussian,2.0,42,7,,personalized_logistic_regression,0.24652777777777776,0.24678756827281106,,
utility,analytic_gaussian,2.0,42,8,,personalized_logistic_regression,0.2638888888888889,0.2558638970031375,,
utility,analytic_gaussian,2.0,42,9,,personalized_logistic_regression,0.24305555555555558,0.24267056811721777,,
utility,task_weighted_empirical,2.0,42,1,,personalized_logistic_regression,0.2777777777777778,0.2774222601197539,,
utility,task_weighted_empirical,2.0,42,2,,personalized_logistic_regression,0.2534722222222222,0.25022700099090783,,
utility,task_weighted_empirical,2.0,42,3,,personalized_logistic_regression,0.2638888888888889,0.2657652759991995,,
utility,task_weighted_empirical,2.0,42,4,,personalized_logistic_regression,0.2534722222222222,0.2523926237161531,,
utility,task_weighted_empirical,2.0,42,5,,personalized_logistic_regression,0.2673611111111111,0.2672123816511197,,
utility,task_weighted_empirical,2.0,42,6,,personalized_logistic_regression,0.23958333333333334,0.23896687241684264,,
utility,task_weighted_empirical,2.0,42,7,,personalized_logistic_regression,0.3090277777777778,0.3076108923951265,,
utility,task_weighted_empirical,2.0,42,8,,personalized_logistic_regression,0.25,0.24977274849190584,,
utility,task_weighted_empirical,2.0,42,9,,personalized_logistic_regression,0.2534722222222222,0.24948757051029777,,
utility,analytic_gaussian,2.0,123,1,,personalized_logistic_regression,0.22916666666666669,0.22846299593662966,,
utility,analytic_gaussian,2.0,123,2,,personalized_logistic_regression,0.2951388888888889,0.2945872052665756,,
utility,analytic_gaussian,2.0,123,3,,personalized_logistic_regression,0.1909722222222222,0.1916015162283819,,
utility,analytic_gaussian,2.0,123,4,,personalized_logistic_regression,0.2604166666666667,0.2604058968638334,,
utility,analytic_gaussian,2.0,123,5,,personalized_logistic_regression,0.3125,0.30976936276942957,,
utility,analytic_gaussian,2.0,123,6,,personalized_logistic_regression,0.2326388888888889,0.2301351800041304,,
utility,analytic_gaussian,2.0,123,7,,personalized_logistic_regression,0.2777777777777778,0.27738388880732145,,
utility,analytic_gaussian,2.0,123,8,,personalized_logistic_regression,0.2465277777777778,0.2458841417835719,,
utility,analytic_gaussian,2.0,123,9,,personalized_logistic_regression,0.2743055555555556,0.27237203195190324,,
utility,task_weighted_empirical,2.0,123,1,,personalized_logistic_regression,0.2361111111111111,0.23599439775910364,,
utility,task_weighted_empirical,2.0,123,2,,personalized_logistic_regression,0.22569444444444448,0.22485034517715832,,
utility,task_weighted_empirical,2.0,123,3,,personalized_logistic_regression,0.21875,0.21678557929643588,,
utility,task_weighted_empirical,2.0,123,4,,personalized_logistic_regression,0.2534722222222222,0.2527048115283409,,
utility,task_weighted_empirical,2.0,123,5,,personalized_logistic_regression,0.28125,0.2779513625765425,,
utility,task_weighted_empirical,2.0,123,6,,personalized_logistic_regression,0.1875,0.18702410727958171,,
utility,task_weighted_empirical,2.0,123,7,,personalized_logistic_regression,0.2604166666666667,0.25905952875130955,,
utility,task_weighted_empirical,2.0,123,8,,personalized_logistic_regression,0.22916666666666669,0.22936008342887537,,
utility,task_weighted_empirical,2.0,123,9,,personalized_logistic_regression,0.2708333333333333,0.2697376443242007,,
utility,analytic_gaussian,2.0,456,1,,personalized_logistic_regression,0.24305555555555555,0.2437204655809307,,
